加算名称,内容,取得条件,加算額,メモ
夜間・早朝加算および深夜加算,18〜8時までの訪問をする,"• 夜間（18〜22時）・早朝（6〜8時）は基本単位の25%加算
• 深夜（22〜6時）は基本単位の50%加算
• 緊急訪問は2回目以降から算定可能",所定単位数の25/100加算,緊急訪問は2回目以降から算定可能
複数名訪問加算（Ⅰ）,同時に複数の看護師等が訪問,"• 看護職員2名が同時に訪問
• 利用者の状態により複数名での訪問が必要
• 所定単位数の90%加算",所定単位数の90/100加算,
複数名訪問加算（Ⅱ）,同時に看護師等と看護補助者が訪問,"• 看護職員と看護補助者が同時に訪問
• 補助的な業務を行う場合
• 所定単位数の30%加算",所定単位数の30/100加算,
長時間訪問看護加算,1回に90分を超える訪問,"• 1回の訪問時間が90分を超える場合
• 特別な管理が必要な利用者が対象
• 300単位加算",300単位,
専門管理加算,専門資格のある看護師が計画的な管理をする,"• 専門研修修了者が管理を実施
• 緩和ケア、褥瘡ケア、糖尿病ケア等の専門資格
• 計画的な管理が必要な利用者が対象
• 月1回500単位加算",500単位/月,
遠隔死亡診断補助加算,情報通信機能を用いた医師の死亡診断の補助,"• ICTを用いた死亡診断補助を実施
• 医師の死亡診断を遠隔で補助
• 1,500単位加算","1,500単位",
初回加算（Ⅰ）,初回訪問時に新規に訪問看護計画書を作成・退院当日に看護師が訪問,"• 退院当日に初回訪問を実施
• 看護師が訪問
• 新規に訪問看護計画書を作成
• 300単位加算",300単位,
初回加算（Ⅱ）,初回訪問時に新規に訪問看護計画書を作成・退院日、看護師に限らない,"• 初回訪問時に計画書を作成
• 退院日以外でも算定可能
• 看護師以外の職種でも算定可能
• 200単位加算",200単位,
退院時共同指導加算,退院（退所）前に療養上の指導をする,"• 退院（退所）前に共同指導を実施
• 医師等と共同で療養上の指導を行う
• 600単位加算",600単位,
看護・介護職員連携強化加算,介護職等へたんの吸引等の助言を行う,"• 同行訪問や会議による連携を実施
• 介護職員への喀痰吸引等の助言・指導
• 月1回250単位加算",250単位/月,
看護体制強化加算（Ⅰ）,医療ニーズに対応する訪問体制の強化,"• 指標要件を満たす事業所
• 緊急時訪問看護加算の届出を行っている
• 特別管理加算の利用者が一定以上
• ターミナルケアの実績がある
• 550単位加算",6単位,
看護体制強化加算（Ⅱ）,医療ニーズに対応する訪問体制の強化,"• 指標要件を満たす事業所
• 加算（Ⅰ）の要件を部分的に満たす
• 200単位加算",3単位,
口腔連携強化加算,歯科専門職と連携し口腔機能の評価を行う,"• 歯科連携体制を整備
• 歯科専門職と連携して口腔機能を評価
• 月1回125単位加算",125単位/月,
