加算名称,内容,取得条件,加算額,メモ
24時間対応体制加算,利用者のコール対応により時間外、夜間でも対応,"• 営業時間外に対応できる体制であることを地方厚生局支局長に受理されていることが必要
• 利用者や家族からの相談に常時対応可能
• 月1回算定が可能","24時間対応体制における看護業務の負担軽減の取り組みを行っている場合: 6,800円/月　行っていない場合: 6,520円/月","■負担軽減の取り組み（ア又はイを含む2項目以上）：
• ア.夜間対応した翌日の勤務間隔の確保（夜間対応終了時刻に関わらず翌日の勤務開始時間を調整）
• イ.夜間対応に係る勤務の連続回数が2連続まで
• ウ.夜間対応後の暦日の休日確保
• エ.夜間勤務のニーズを踏まえた勤務体制の工夫
• オ.ICT、AI、IoT等の活用による業務負担軽減
• カ.電話等による連絡及び相談を担当する者に対する支援体制の確保

■看護師以外が担当する場合の条件：
• ①対応マニュアル整備
• ②緊急時の看護師連絡体制
• ③勤務体制の明確化
• ④看護師への報告・記録体制
• ⑤利用者の同意
• ⑥地方厚生局への届出"
特別管理加算Ⅰ,別表八1に該当する療養者の管理,"• 在宅麻薬等注射管理、在宅腫瘍化学療法注射指導管理、または在宅強心剤持続投与指導管理、もしくは在宅気管切開患者指導管理を受けている状態にある者
• 気管カニューレもしくは留置カテーテルを使用している状態にある者
• 月1回算定","5,000円/月",
特別管理加算Ⅱ,別表八2に該当する療養者の管理,"• 在宅自己腹膜韓流指導管理、在宅血液透析指導管理、在宅酸素療法指導管理、在宅中心静脈栄養法指導管理、在宅成分栄養経管栄養指導管理、在宅自己導尿指導管理、在宅人工呼吸指導管理、在宅持続用圧呼吸療法指導管理、在宅自己疼痛管理指導管理もしくは在宅肺高血圧疾患指導管理を受けている状態にある者
• 人工肛門・人工膀胱を設置している状態にある者
• 真皮を越える褥瘡の状態にある者
    ①NPUAP分類Ⅲ度・Ⅳ度
    ②DESIGN-R分類D3・D4・D5
• 在宅患者訪問点滴注射管理指導料を算定している者
• 月1回算定","2,500円/月","別表八2のデータを利用者に設定できるようにする必要があるか？"
退院時共同指導加算,保険医療機関または介護老人保健施設もしくは介護医療院に入院中で、訪問看護を受けようとする患者（月2回まで）,"• 退院前に主治医等と共同で指導を実施し、その内容を文書により情報提供
• 原則1回算定
• 別表七・八に該当する利用者の場合、複数日に実施した場合は2回算定できる","8,000円/回",特別管理指導加算を上乗せで算定することが可能（退院時共同加算の上乗せ加算）
特別管理指導加算（退院時共同指導加算に上乗せ）,特別管理加算が算定できる状態（1回に限り）,"• 特掲疾患対象者に対する指導
• 退院時共同指導後の追加指導で算定
• 1回に限り算定
• 特別管理加算の対象者であることが条件","2,000円",
退院支援指導加算,基準告示第2の1に規定する疾病等の利用者に対して、退院日に訪問看護が必要と認められた者,"• 退院当日に初回訪問を実施
• 必要な指導を行った場合に算定
• 厚生労働大臣が定める疾病等（別表第7）の利用者が対象
• 1回算定","6,000円/回
当日複数訪問で、合計が90分越えの場合は8,400円",
在宅患者連携指導加算,在宅で療養している利用者であって通院困難な者に対して、月2回以上連携指導した場合,"• 医師等と診療情報を月2回以上共有
• 共有した情報に基づき指導を実施
• 通院困難な在宅療養者が対象
• 月1回算定","3,000円/月",
在宅患者緊急時等カンファレンス加算,在宅での療養中に、状態の急変や診療方針の変更がある利用者,"• 病状急変時にカンファレンスを実施
• 医師等と共同で診療方針を検討
• 在宅療養中の利用者が対象
• 1回算定（2,000円）","2,000円/回",
精神科重症患者支援管理連携加算,精神科在宅患者支援管理料2を算定する患者,"• 医療機関と連携して支援計画を策定
• 計画に基づいた支援を実施
• 精神科在宅患者支援管理料2の算定患者が対象
• 月1回算定","8,400円/月　または　5,800円/月",
看護・介護職員連携強化加算,口腔内・鼻腔内・気管カニューレ内部の喀痰吸引、胃ろうまたは腸ろうによる経管栄養など,"• 介護職員への喀痰吸引等の指導・助言体制を整備
• 同行訪問等により技術指導を実施
• 口腔内・鼻腔内・気管カニューレ内部の喀痰吸引が必要な利用者
• 胃ろう・腸ろうによる経管栄養が必要な利用者
• 月1回算定","2,500円/月",
専門管理加算,褥瘡ケア、糖尿ケアまたは人工肛門ケアおよび人工膀胱ケアに係る専門の研修を受けた看護師による管理,"• 緩和ケア等専門研修修了者による管理
• 褥瘡ケア、糖尿病ケア、人工肛門・人工膀胱ケアの専門研修修了者
• 専門的な管理が必要な利用者が対象
• 月1回算定","2,500円/月",専門の研修を受けた看護師であることがデータ上わかる必要がある
訪問看護医療DX情報活用加算,オンライン資格確認システムにより得られる利用者情報を活用,"• オンライン資格確認システムを活用
• 利用者情報に基づく計画的管理を実施
• 月1回算定",50円/月,
